CustomerID,ContractType,SubscriptionPlan,PaymentMethod,PaperlessBilling,MonthlyCharges,TotalCharges
1d8ce535-888e-48ae-9a20-586f89770ff8,One Year,Premium Connect,Credit Card,True,97.06202287707362,299732435.84328556
d739f93c-6826-45d3-97dc-24fb5449d4af,Month-to-Month,Basic Connect,Bank Transfer,True,42.495331231813104,77360083.05541562
a92a4640-fcaa-4b7e-a044-87d264640d2a,Month-to-Month,Basic Connect,Credit Card,True,29.353044716737852,85388305.67855652
ddd4b9eb-71fb-4981-98e7-3b35a4aa6368,Month-to-Month,Basic Connect,Bank Transfer,True,46.662522974319295,75817698.19556986
dff6d664-c055-46e2-8c07-866297f6ed6c,Month-to-Month,Standard Connect,Credit Card,True,61.69729651548996,177049822.6155967
2dc1009d-e5f1-427b-bb13-6ba7a04c7b93,One Year,Standard Connect,Credit Card,True,87.91662134816464,
c4ee5a6b-29ad-45c7-8520-fef110b8609b,One Year,Basic Connect,Bank Transfer,True,27.87838410359105,53791441.57107648
3db40035-da4d-400c-a6e2-0140ddec681e,Two Year,Standard Connect,Credit Card,False,72.00659308291701,105205028.0770139
dbd86559-f2b4-4bb8-8daa-0ba124791776,Month-to-Month,Basic Connect,Bank Transfer,False,,104837790.07864292
9c1f70d1-3206-494d-b553-9d0de4235083,One Year,Standard Connect,Mailed Check,True,76.29904855738528,166526349.02762306
63bb3966-030c-4f5a-b1f3-c792eba6d07e,Month-to-Month,Standard Connect,Bank Transfer,True,67.47919614591419,200761324.85881203
31626075-da8f-4df2-b126-924b3b5743f3,Two Year,Premium Connect,Credit Card,False,115.3610699800995,300843906.211786
9c3939ef-204e-4a94-995e-28a1b7ed2b1b,Month-to-Month,Premium Connect,Credit Card,True,90.36248902375706,Missing
e10c10a8-2f39-4300-a310-c809f3e07314,Month-to-Month,Basic Connect,Bank Transfer,False,26.550249608584032,86369897.87960048
de974c6b-5765-4ae1-983f-b3d314c3b1d2,One Year,Premium Connect,Bank Transfer,True,,280194236.2414991
1e0ebcf9-4362-46d7-a14f-a3b3c2f2748b,Month-to-Month,Standard Connect,Bank Transfer,True,54.95347650295473,149732561.8999413
9bf2036b-f1cb-402f-a52e-cde951994162,Month-to-Month,Basic Connect,Bank Transfer,True,63.449040549205826,178446958.39345047
54680063-fb82-44ae-a370-ceeff988a473,Two Year,Premium Connect,,True,105.68357735728513,344055009.5712053
43775876-6418-423e-9aa7-b749bc825180,Month-to-Month,Standard Connect,,True,68.50850358264793,193600258.6099361
277fa0f3-2a73-4300-890b-8c7402f253e1,Two Year,Basic Connect,Mailed Check,False,20.0,34340088.80389094
bdba3d95-3ceb-4836-b107-47ef20b6a15b,One Year,Basic Connect,Mailed Check,True,35.42861502809542,62094197.20108058
