CustomerID,TenureMonths,NumSupportTickets,AvgMonthlyGBData,Churn
f94d09e7-ac03-48cc-8f96-e31241566d98,64,3,126,0
e21aa3cc-8c63-4c62-9eed-718e4a3eb4d3,56,3,45,1
5cf3b692-9bbf-4cd8-a112-a5273280b37d,42,,67,0
cc3ab067-3520-46d4-85b0-ae271b1177f5,60,3,89,0
4b7eff47-4bd1-4a1e-8474-fb764827cbad,66,1,135,0
314392c9-099c-41ca-9317-7234a0372d4c,55,3,,0
86ea39bc-509e-4ec2-81b4-0bc0d53c8008,46,0,100,0
e3754b09-3285-42fb-802b-3a5a84e2a020,41,2,54,0
a36c8976-4968-4a28-a45f-dc1a24876a76,44,1,104,0
c4bcedc3-0c10-4422-a64c-df6518f3c14a,61,0,122,0
da9ed2fe-cc0a-4137-8c54-00b3f5ffdb02,35,3,48,0
7125decd-633d-4f83-b06a-9e06bbb9c74c,44,1,99,0
1ccd6607-641d-43ef-8acf-12d9c196991b,54,2,72,0
b7626b03-d241-4fbb-9ce8-d6e7fcd25b4c,49,0,49,0
ee9bdfdf-70ca-48cc-acb6-7c9d774b80ca,57,1,22,0
d7282e0e-93fe-4266-8a28-681b5e4cf712,41,0,45,0
1dcb7ff0-0514-48a2-a3ec-db4c33aea71c,35,1,44,0
f1c0ee0d-3269-444d-ae21-279efd9adf8d,48,2,81,0
f0b96687-0448-4d1a-aaab-5a2189a075a1,55,2,46,0
83b8cf64-007b-46c5-873b-4e57cfa733a3,63,0,78,0
74ba8184-d389-4866-b5e8-4ed6b8bacfb1,50,2,,0
6ad698a3-3a64-4bb2-b0ee-27bc990678b2,52,1,123,0
2d45c4f6-535d-4e97-9cba-f6ad4e7bbef2,68,1,52,0
1f63afb8-9155-4ded-878e-ee6501538ce6,40,0,,0
3db7e6d0-aa87-47b8-b852-0ad5df41f9b6,48,2,48,0
ec9e8d9f-bb66-4c90-953c-2d8d089b9698,43,3,81,1
85526006-5465-4caa-b290-b01e902c2616,41,,45,0
